,Station,% Change Foreign Born,Area
0,East LA Civic Center,-4.86269537907496,Station
1,East LA Civic Center,-3.3151355273800256,Region
2,Mariachi,-5.466961038984236,Station
3,Mariachi,-3.3151355273800256,Region
4,Chinatown,-7.647559802629328,Station
5,Chinatown,-8.024850300911174,Region
6,Heritage,-2.705435096592085,Station
7,Heritage,-4.875098804461292,Region
8,Highland Park,-7.117768122990875,Station
9,Highland Park,-4.875098804461292,Region
10,Del Mar,2.267495460544877,Station
11,Del Mar,-1.5703339806824312,Region
12,Arcadia,0.7139241898669546,Station
13,Arcadia,1.1193548047961521,Region
